description,category
Starbucks Coffee,Food
Amazon Purchase,Shopping
Uber Ride,Transport
Electric Bill,Bills
Netflix Subscription,Entertainment
Office Supplies,Work Supplies
CVS Pharmacy,Health
Whole Foods Market,Food
Gas Station,Transport
Water Bill,Bills
Movie Tickets,Entertainment
Laptop Case,Work Supplies
Gym Membership,Health
Restaurant Dinner,Food
Taxi Ride,Transport
Internet Bill,Bills
Gaming Console,Entertainment
Printer Paper,Work Supplies
Doctor Appointment,Health
Trader Joe's,Food
Target Store,Shopping
Verizon Bill,Bills
Spotify,Entertainment
Dental Cleaning,Health
Chipotle Bowl,Food
Lyft Ride,Transport
McDonald's,Food
Walmart Shopping,Shopping
Charter Internet,Bills
Concert Tickets,Entertainment
Staples,Work Supplies
Walgreens Pharmacy,Health
Pizza Hut,Food
Delta Airline,Transport
Con Edison,Bills
Disney Plus,Entertainment
Treadmill Shoes,Work Supplies
Physical Therapy,Health
Panera Bread,Food
Shell Gas,Transport
Electric Company,Bills
HBO Max,Entertainment
Office Chair,Work Supplies
Vitamins,Health
